Data,Descrição,Entrada de Dinheiro (R$),Entrada de bônus (R$),Saída de Dinheiro (R$),Saída de bônus (R$),Saldos em Dinheiro (R$)
04-abr-26 19:19:19,"Zamora FC x Monagas / 1,5 gols no primeiro tempo Ref: 17753411591282",352.54,--,--,--,"18,797.19"
04-abr-26 18:31:32,"New England x CF Montreal / 1,5 gols no primeiro tempo Ref: 17753382921281",404.81,--,--,--,"18,444.65"
04-abr-26 18:00:52,"Fortaleza x Juventude / Mais/Menos de 3,5 Gols Ref: 17753364521280",469.24,--,--,--,"18,039.84"
04-abr-26 17:32:39,"Dynamo Dresden x Hertha Berlin / Mais/Menos de 0,5 Gols Ref: 17753347591279",--,--,-600.00,--,"17,570.60"
04-abr-26 17:18:52,"FC Basel x Young Boys / Mais/Menos de 5,5 Gols Ref: 17753339321278",--,--,-600.00,--,"18,170.60"
04-abr-26 17:07:50,"Porto x Famalicão / 0,5 gols no primeiro tempo Ref: 17753332701277",--,--,-600.00,--,"18,770.60"
04-abr-26 16:56:35,"Club Brugge B x Eupen / Mais/Menos de 1,5 Gols Ref: 17753325951276",366.22,--,--,--,"19,370.60"
04-abr-26 16:33:45,"Ajax x Twente / 1,5 gols no primeiro tempo Ref: 17753312241275",--,--,-570.00,--,"19,004.38"
04-abr-26 16:01:27,"Brest x Rennes / Mais/Menos de 7,5 Gols Ref: 17753292861274",564.75,--,--,--,"19,574.38"
04-abr-26 15:59:38,"Trabzonspor x Galatasaray / Mais/Menos de 3,5 Gols Ref: 17753291771273",493.84,--,--,--,"19,009.63"
04-abr-26 15:53:36,"Deportivo Garcilaso x Sport Boys (Per) / 1,5 gols no primeiro tempo Ref: 17753288151272",--,--,-600.00,--,"18,515.79"
04-abr-26 15:44:48,"Al-Hilal x Al-Taawoun Buraidah / 0,5 gols no primeiro tempo Ref: 17753282881271",406.17,--,--,--,"19,115.79"
04-abr-26 15:43:30,"SC Telstar x FC Groningen / Mais/Menos de 1,5 Gols Ref: 17753282091270",--,--,-600.00,--,"18,709.62"
04-abr-26 15:08:33,"Deportivo x Málaga / Mais/Menos de 1,5 Gols Ref: 17753261131269",--,--,-600.00,--,"19,309.62"
04-abr-26 14:52:38,"Lausanne x Winterthur / Mais/Menos de 3,5 Gols Ref: 17753251581268",678.88,--,--,--,"19,909.62"
04-abr-26 13:30:09,"CD Nacional Funchal x Club Football Estrela / Mais/Menos de 2,5 Gols Ref: 17753202081267",477.53,--,--,--,"19,230.74"
04-abr-26 13:16:51,"Gornik Zabrze x Cracovia Kraków / 1,5 gols no primeiro tempo Ref: 17753194111266",378.18,--,--,--,"18,753.21"
04-abr-26 13:14:37,"Albacete x Burgos / Mais/Menos de 5,5 Gols Ref: 17753192771265",349.75,--,--,--,"18,375.03"
04-abr-26 13:10:11,"PSV x FC Utrecht / Mais/Menos de 5,5 Gols Ref: 17753190101264",--,--,-600.00,--,"18,025.28"
04-abr-26 13:04:21,"Mallorca x Real Madrid / Mais/Menos de 1,5 Gols Ref: 17753186611263",--,--,-600.00,--,"18,625.28"
04-abr-26 12:55:13,"Al Nasr (UAE) x Al Wahda (Abu Dhabi) / Mais/Menos de 3,5 Gols Ref: 17753181131262",--,--,-600.00,--,"19,225.28"
04-abr-26 12:20:55,"CD Nacional Funchal x Club Football Estrela / 1,5 gols no primeiro tempo Ref: 17753160551261",586.68,--,--,--,"19,825.28"
04-abr-26 11:51:50,"Slovan Liberec x Slovacko / Mais/Menos de 3,5 Gols Ref: 17753143101260",541.56,--,--,--,"19,238.60"
04-abr-26 11:48:42,"Dukla Praga x Pardubice / Mais/Menos de 1,5 Gols Ref: 17753141211259",--,--,-600.00,--,"18,697.04"
04-abr-26 11:20:09,"Hamburgo x Augsburg / 1,5 gols no primeiro tempo Ref: 17753124091258",558.64,--,--,--,"19,297.04"
04-abr-26 11:18:26,"Freiburg x Bayern de Munique / 0,5 gols no primeiro tempo Ref: 17753123051257",--,--,-600.00,--,"18,738.40"
04-abr-26 11:17:22,"Werder Bremen x RB Leipzig / 1,5 gols no primeiro tempo Ref: 17753122421256",812.65,--,--,--,"19,338.40"
04-abr-26 10:51:27,"Ratchaburi x Buriram Utd / Mais/Menos de 3,5 Gols Ref: 17753106871255",--,--,-600.00,--,"18,525.75"
04-abr-26 10:48:33,"Erzurum BB x 76 Igdir Belediyespor / 1,5 gols no primeiro tempo Ref: 17753105131254",--,--,-600.00,--,"19,125.75"
04-abr-26 10:48:12,"Real Sociedad x Levante / Mais/Menos de 1,5 Gols Ref: 17753104921253",--,--,-600.00,--,"19,725.75"
